Kernel,Benchmark,Authentication,Orig Size,Compresed Size,Sign Time,Encrypt Time,Compression Time,Verify Time,Decrypt Time,Decompression Time,Security
mps2/an521/cpu0/ns,psa_crypto,r3-c1,1554992,785233,9.287,6.506,27.781,5.956,6.139,12.593,6.335
mps2/an521/cpu0/ns,psa_crypto,r3-c2,1554992,387384,7.809,5.42,407.74,4.844,5.027,29.101,6.335
mps2/an521/cpu0/ns,psa_crypto,r3-c3,1554992,785233,9.429,7.183,28.565,6.468,6.219,11.955,6.71
mps2/an521/cpu0/ns,psa_crypto,r3-c4,1554992,387384,7.99,5.593,419.419,4.884,5.147,28.916,6.71
mps2/an521/cpu0/ns,psa_crypto,r3-c5,1554992,785233,10.366,6.702,29.347,7.03,6.396,12.913,6.51
mps2/an521/cpu0/ns,psa_crypto,r3-c6,1554992,387384,8.734,5.424,419.625,5.18,5.259,30.49,6.51
mps2/an521/cpu0/ns,psa_crypto,r3-c7,1554992,785233,9.41,6.31,29.012,6.478,6.13,12.094,6.885
mps2/an521/cpu0/ns,psa_crypto,r3-c8,1554992,387384,8.305,5.389,433.037,5.152,5.269,30.595,6.885
mps2/an521/cpu0/ns,psa_crypto,r3-c9,1554992,785233,12.31,7.199,34.588,8.177,7.136,16.352,6.86
mps2/an521/cpu0/ns,psa_crypto,r3-c10,1554992,387384,10.359,8.972,516.244,6.887,4.449,34.419,6.86
mps2/an521/cpu0/ns,psa_crypto,r4-c1,1554992,785233,13.363,7.654,29.245,6.893,6.341,12.175,6.949999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c2,1554992,387384,10.982,5.546,425.874,5.083,5.136,30.423,6.949999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c3,1554992,785233,13.092,7.443,29.911,6.776,6.724,12.333,7.324999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c4,1554992,387384,11.034,5.776,417.337,5.337,5.192,30.79,7.324999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c5,1554992,785233,14.889,7.641,31.456,7.347,6.935,13.484,7.125
mps2/an521/cpu0/ns,psa_crypto,r4-c6,1554992,387384,12.399,6.284,474.266,5.677,5.84,33.267,7.125
mps2/an521/cpu0/ns,psa_crypto,r4-c7,1554992,785233,14.75,7.315,32.516,7.347,7.19,13.614,7.5
mps2/an521/cpu0/ns,psa_crypto,r4-c8,1554992,387384,12.589,5.941,492.017,5.721,5.981,33.06,7.5
mps2/an521/cpu0/ns,psa_crypto,r4-c9,1554992,785233,16.873,7.111,33.629,8.517,6.494,14.461,7.475
mps2/an521/cpu0/ns,psa_crypto,r4-c10,1554992,387384,14.545,4.486,568.328,6.687,4.381,35.485,7.475
mps2/an521/cpu0/ns,psa_crypto,e1-c1,1554992,785233,8.564,8.283,33.647,8.498,7.194,13.715,6.699999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c2,1554992,387384,6.776,6.461,488.039,6.443,5.795,35.595,6.699999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c3,1554992,785233,8.115,8.205,32.956,7.994,7.005,13.448,7.074999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c4,1554992,387384,6.642,6.697,481.568,6.558,5.765,33.743,7.074999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c5,1554992,785233,7.992,6.828,31.394,7.648,6.354,13.07,6.875
mps2/an521/cpu0/ns,psa_crypto,e1-c6,1554992,387384,6.952,6.684,514.023,6.936,5.986,34.83,6.875
mps2/an521/cpu0/ns,psa_crypto,e1-c7,1554992,785233,8.746,7.313,32.288,8.554,6.921,13.065,7.25
mps2/an521/cpu0/ns,psa_crypto,e1-c8,1554992,387384,6.863,6.151,490.976,6.695,5.963,34.321,7.25
mps2/an521/cpu0/ns,psa_crypto,e1-c9,1554992,785233,10.299,7.56,37.44,9.894,7.549,15.583,7.225
mps2/an521/cpu0/ns,psa_crypto,e1-c10,1554992,387384,9.072,5.135,607.648,8.731,5.358,38.546,7.225
mps2/an521/cpu0/ns,psa_crypto,e3-c1,1554992,785233,9.043,7.671,31.9,8.218,6.754,13.185,7.324999999999999
mps2/an521/cpu0/ns,psa_crypto,e3-c2,1554992,387384,7.621,6.543,501.262,7.739,6.331,36.004,7.324999999999999
mps2/an521/cpu0/ns,psa_crypto,e3-c3,1554992,785233,8.825,8.007,34.046,9.009,6.982,13.77,7.699999999999999
mps2/an521/cpu0/ns,psa_crypto,e3-c4,1554992,387384,7.914,6.777,507.886,7.57,6.095,34.703,7.699999999999999
mps2/an521/cpu0/ns,psa_crypto,e3-c5,1554992,785233,9.072,7.383,33.05,8.636,7.14,14.665,7.5
mps2/an521/cpu0/ns,psa_crypto,e3-c6,1554992,387384,7.718,6.234,500.566,7.112,6.107,34.883,7.5
