Kernel,Benchmark,Authentication,Orig Size,Compresed Size,Sign Time,Encrypt Time,Compression Time,Verify Time,Decrypt Time,Decompression Time,Security
qemu_cortex_a53,vlan,r3-c1,5872280,2761302,14.134,10.92,88.338,11.011,10.176,42.237,6.335
qemu_cortex_a53,vlan,r3-c2,5872280,1122284,10.07,7.098,1547.048,7.244,7.186,176.348,6.335
qemu_cortex_a53,vlan,r3-c3,5872280,2761302,31.695,20.504,254.208,28.401,26.815,115.479,6.71
qemu_cortex_a53,vlan,r3-c4,5872280,1122284,9.854,7.138,1547.472,7.23,7.196,184.201,6.71
qemu_cortex_a53,vlan,r3-c5,5872280,2761302,35.611,17.381,256.385,30.81,26.899,117.056,6.51
qemu_cortex_a53,vlan,r3-c6,5872280,1122284,9.806,6.492,1552.041,7.328,7.303,180.203,6.51
qemu_cortex_a53,vlan,r3-c7,5872280,2761302,36.703,17.296,250.326,32.229,26.917,113.469,6.885
qemu_cortex_a53,vlan,r3-c8,5872280,1122284,9.9,6.437,1535.393,7.246,7.209,174.412,6.885
qemu_cortex_a53,vlan,r3-c9,5872280,2761302,27.711,22.49,228.765,26.575,35.417,106.218,6.86
qemu_cortex_a53,vlan,r3-c10,5872280,1122284,9.631,6.18,1530.846,7.086,6.913,180.69,6.86
qemu_cortex_a53,vlan,r4-c1,5872280,2761302,41.179,20.887,247.297,31.195,26.116,112.023,6.949999999999999
qemu_cortex_a53,vlan,r4-c2,5872280,1122284,12.347,6.774,1541.898,7.377,7.527,184.728,6.949999999999999
qemu_cortex_a53,vlan,r4-c3,5872280,2761302,40.746,23.449,256.658,29.352,26.212,112.78,7.324999999999999
qemu_cortex_a53,vlan,r4-c4,5872280,1122284,12.554,7.344,1557.085,7.575,7.685,189.701,7.324999999999999
qemu_cortex_a53,vlan,r4-c5,5872280,2761302,41.396,18.525,258.379,30.958,24.552,111.708,7.125
qemu_cortex_a53,vlan,r4-c6,5872280,1122284,12.343,6.491,1548.778,7.309,7.269,189.003,7.125
qemu_cortex_a53,vlan,r4-c7,5872280,2761302,38.428,16.706,249.556,28.53,26.758,117.405,7.5
qemu_cortex_a53,vlan,r4-c8,5872280,1122284,12.491,6.458,1560.657,7.493,7.799,183.915,7.5
qemu_cortex_a53,vlan,r4-c9,5872280,2761302,21.718,16.989,122.446,14.414,19.235,51.907,7.475
qemu_cortex_a53,vlan,r4-c10,5872280,1122284,12.472,6.252,1561.726,7.569,7.452,182.828,7.475
qemu_cortex_a53,vlan,e1-c1,5872280,2761302,26.687,18.738,255.561,32.109,27.208,109.752,6.699999999999999
qemu_cortex_a53,vlan,e1-c2,5872280,1122284,7.832,7.086,1569.477,8.444,7.614,175.962,6.699999999999999
qemu_cortex_a53,vlan,e1-c3,5872280,2761302,25.819,19.227,246.151,31.188,26.425,111.976,7.074999999999999
qemu_cortex_a53,vlan,e1-c4,5872280,1122284,7.79,7.23,1584.489,8.152,7.859,191.068,7.074999999999999
qemu_cortex_a53,vlan,e1-c5,5872280,2761302,27.107,16.087,265.544,33.407,28.456,115.011,6.875
qemu_cortex_a53,vlan,e1-c6,5872280,1122284,7.787,6.442,1552.684,8.419,7.451,182.133,6.875
qemu_cortex_a53,vlan,e1-c7,5872280,2761302,25.967,16.375,234.446,30.847,25.913,102.86,7.25
qemu_cortex_a53,vlan,e1-c8,5872280,1122284,7.608,6.67,1574.457,8.423,7.725,174.409,7.25
qemu_cortex_a53,vlan,e1-c9,5872280,2761302,20.067,20.023,209.72,24.35,31.28,93.572,7.225
qemu_cortex_a53,vlan,e1-c10,5872280,1122284,7.664,6.673,1566.077,7.922,7.286,183.802,7.225
qemu_cortex_a53,vlan,e3-c1,5872280,2761302,26.434,17.571,253.033,32.595,27.282,118.126,7.324999999999999
qemu_cortex_a53,vlan,e3-c2,5872280,1122284,8.719,6.949,1565.864,8.997,7.699,173.89,7.324999999999999
qemu_cortex_a53,vlan,e3-c3,5872280,2761302,29.622,20.407,256.341,35.04,29.857,118.628,7.699999999999999
qemu_cortex_a53,vlan,e3-c4,5872280,1122284,8.664,7.313,1562.47,8.871,7.855,188.815,7.699999999999999
qemu_cortex_a53,vlan,e3-c5,5872280,2761302,31.138,15.892,242.221,33.435,26.533,117.037,7.5
qemu_cortex_a53,vlan,e3-c6,5872280,1122284,8.456,6.373,1591.719,8.699,8.016,175.596,7.5
qemu_cortex_a53,vlan,e3-c7,5872280,2761302,24.57,15.171,215.268,28.304,23.85,107.409,7.875
qemu_cortex_a53,vlan,e3-c8,5872280,1122284,8.469,6.51,1565.462,9.217,7.904,196.788,7.875
qemu_cortex_a53,vlan,e3-c9,5872280,2761302,30.419,28.67,244.913,33.318,40.304,113.727,7.85
