Kernel,Benchmark,Authentication,Orig Size,Compresed Size,Sign Time,Encrypt Time,Compression Time,Verify Time,Decrypt Time,Decompression Time,Security
qemu_cortex_a9,vector_3d,r3-c1,500804,255073,8.449,5.766,10.722,5.106,5.859,5.847,6.335
qemu_cortex_a9,vector_3d,r3-c2,500804,136272,8.369,5.23,128.701,5.367,6.083,12.407,6.335
qemu_cortex_a9,vector_3d,r3-c3,500804,255073,8.513,6.032,10.653,5.254,5.889,5.311,6.71
qemu_cortex_a9,vector_3d,r3-c4,500804,136272,7.98,5.238,124.881,4.866,5.537,12.221,6.71
qemu_cortex_a9,vector_3d,r3-c5,500804,255073,8.541,5.86,10.548,5.245,5.701,5.289,6.51
qemu_cortex_a9,vector_3d,r3-c6,500804,136272,8.354,5.048,220.058,5.349,6.414,16.803,6.51
qemu_cortex_a9,vector_3d,r3-c7,500804,255073,25.069,16.528,33.264,14.039,16.174,15.684,6.885
qemu_cortex_a9,vector_3d,r3-c8,500804,136272,8.573,5.183,204.894,5.397,6.65,16.98,6.885
qemu_cortex_a9,vector_3d,r3-c9,500804,255073,31.808,9.846,40.091,16.923,11.449,20.653,6.86
qemu_cortex_a9,vector_3d,r3-c10,500804,136272,7.72,2.098,200.836,4.89,2.742,15.257,6.86
qemu_cortex_a9,vector_3d,r4-c1,500804,255073,37.435,18.06,38.769,15.515,19.623,20.496,6.949999999999999
qemu_cortex_a9,vector_3d,r4-c2,500804,136272,11.12,5.02,203.871,5.295,6.611,16.734,6.949999999999999
qemu_cortex_a9,vector_3d,r4-c3,500804,255073,15.948,8.477,16.671,6.862,8.642,7.658,7.324999999999999
qemu_cortex_a9,vector_3d,r4-c4,500804,136272,10.946,5.424,128.053,5.169,6.145,12.538,7.324999999999999
qemu_cortex_a9,vector_3d,r4-c5,500804,255073,11.961,6.18,10.999,5.49,6.352,5.488,7.125
qemu_cortex_a9,vector_3d,r4-c6,500804,136272,11.14,5.291,134.736,4.893,5.691,12.975,7.125
qemu_cortex_a9,vector_3d,r4-c7,500804,255073,19.532,9.847,19.165,8.727,10.231,9.968,7.5
qemu_cortex_a9,vector_3d,r4-c8,500804,136272,11.233,4.929,255.876,5.444,7.202,19.635,7.5
qemu_cortex_a9,vector_3d,r4-c9,500804,255073,12.811,3.516,12.211,5.99,3.38,5.349,7.475
qemu_cortex_a9,vector_3d,r4-c10,500804,136272,12.059,2.384,239.443,5.904,3.466,21.122,7.475
qemu_cortex_a9,vector_3d,e1-c1,500804,255073,20.474,18.306,38.257,18.915,18.839,18.818,6.699999999999999
qemu_cortex_a9,vector_3d,e1-c2,500804,136272,5.543,4.932,197.247,5.671,6.004,15.336,6.699999999999999
qemu_cortex_a9,vector_3d,e1-c3,500804,255073,20.524,19.016,38.429,18.48,18.547,19.13,7.074999999999999
qemu_cortex_a9,vector_3d,e1-c4,500804,136272,5.728,4.953,189.123,5.887,6.082,15.813,7.074999999999999
qemu_cortex_a9,vector_3d,e1-c5,500804,255073,17.365,15.757,33.531,16.505,16.536,16.926,6.875
qemu_cortex_a9,vector_3d,e1-c6,500804,136272,6.033,5.058,203.687,6.062,6.395,17.246,6.875
qemu_cortex_a9,vector_3d,e1-c7,500804,255073,6.243,6.218,10.729,6.234,6.118,5.535,7.25
qemu_cortex_a9,vector_3d,e1-c8,500804,136272,6.155,5.19,126.981,6.074,6.081,12.921,7.25
qemu_cortex_a9,vector_3d,e1-c9,500804,255073,6.625,3.105,10.9,6.299,3.314,5.49,7.225
qemu_cortex_a9,vector_3d,e1-c10,500804,136272,6.102,2.444,165.032,6.192,2.939,14.531,7.225
qemu_cortex_a9,vector_3d,e3-c1,500804,255073,16.925,14.373,28.59,15.694,14.306,14.441,7.324999999999999
qemu_cortex_a9,vector_3d,e3-c2,500804,136272,6.368,5.091,243.457,6.508,6.257,17.628,7.324999999999999
qemu_cortex_a9,vector_3d,e3-c3,500804,255073,21.653,18.34,37.026,20.191,18.983,19.317,7.699999999999999
qemu_cortex_a9,vector_3d,e3-c4,500804,136272,7.041,5.473,204.433,7.069,6.545,16.905,7.699999999999999
qemu_cortex_a9,vector_3d,e3-c5,500804,255073,23.423,19.345,39.117,21.135,18.396,18.659,7.5
qemu_cortex_a9,vector_3d,e3-c6,500804,136272,6.671,5.336,195.15,6.769,6.376,16.112,7.5
qemu_cortex_a9,vector_3d,e3-c7,500804,255073,23.241,18.443,38.872,20.506,18.884,18.728,7.875
qemu_cortex_a9,vector_3d,e3-c8,500804,136272,6.834,5.049,200.349,6.894,6.92,17.812,7.875
qemu_cortex_a9,vector_3d,e3-c9,500804,255073,20.557,8.386,33.814,18.872,8.916,16.265,7.85
qemu_cortex_a9,vector_3d,e3-c10,500804,136272,6.25,2.153,126.402,6.187,2.805,12.588,7.85
qemu_cortex_a9,vector_3d,d-c1,500804,255073,4.241,6.246,10.847,4.24,5.99,5.55,8.05
qemu_cortex_a9,vector_3d,d-c2,500804,136272,3.981,5.337,129.295,3.848,6.013,13.27,8.05
qemu_cortex_a9,vector_3d,d-c3,500804,255073,4.312,6.388,11.298,4.308,6.128,5.503,8.425
qemu_cortex_a9,vector_3d,d-c4,500804,136272,4.116,5.357,247.63,4.072,6.554,18.599,8.425
qemu_cortex_a9,vector_3d,d-c5,500804,255073,14.64,18.882,40.852,13.543,20.696,20.746,8.225
qemu_cortex_a9,vector_3d,d-c6,500804,136272,3.933,5.176,196.691,3.966,6.36,16.146,8.225
qemu_cortex_a9,vector_3d,d-c7,500804,255073,10.285,13.572,27.951,9.77,14.266,13.991,8.6
qemu_cortex_a9,vector_3d,d-c8,500804,136272,4.432,5.571,244.066,4.452,7.344,20.911,8.6
qemu_cortex_a9,vector_3d,d-c9,500804,255073,15.439,10.277,40.382,14.46,11.183,20.041,8.575
qemu_cortex_a9,vector_3d,d-c10,500804,136272,3.761,2.231,188.377,3.838,3.038,16.161,8.575
qemu_cortex_a9,vector_3d,f-c1,500804,255073,16.342,19.359,41.808,13.566,20.217,21.656,8.05
qemu_cortex_a9,vector_3d,f-c2,500804,136272,4.748,5.537,194.03,4.359,7.036,16.968,8.05
qemu_cortex_a9,vector_3d,f-c3,500804,255073,13.251,15.83,31.361,11.158,16.51,16.392,8.425
