Kernel,Benchmark,Authentication,Orig Size,Compresed Size,Sign Time,Encrypt Time,Compression Time,Verify Time,Decrypt Time,Decompression Time,Security
mps2/an521/cpu0/ns,psa_crypto,r3-c1,1554992,785233,9.476,6.601,28.413,6.44,7.086,13.788,6.335
mps2/an521/cpu0/ns,psa_crypto,r3-c2,1554992,387384,8.742,5.796,389.198,5.677,6.12,30.035,6.335
mps2/an521/cpu0/ns,psa_crypto,r3-c3,1554992,785233,9.729,7.181,28.507,6.716,6.659,11.971,6.71
mps2/an521/cpu0/ns,psa_crypto,r3-c4,1554992,387384,8.562,5.7,379.165,5.48,5.833,28.877,6.71
mps2/an521/cpu0/ns,psa_crypto,r3-c5,1554992,785233,9.291,6.133,27.866,6.426,6.425,11.55,6.51
mps2/an521/cpu0/ns,psa_crypto,r3-c6,1554992,387384,8.437,5.408,381.022,5.506,5.641,28.871,6.51
mps2/an521/cpu0/ns,psa_crypto,r3-c7,1554992,785233,10.0,6.336,28.996,6.498,6.721,12.526,6.885
mps2/an521/cpu0/ns,psa_crypto,r3-c8,1554992,387384,8.844,5.623,390.17,5.676,6.13,30.705,6.885
mps2/an521/cpu0/ns,psa_crypto,r3-c9,1554992,785233,10.494,5.925,30.068,7.011,5.759,13.042,6.86
mps2/an521/cpu0/ns,psa_crypto,r3-c10,1554992,387384,9.143,3.44,404.049,5.73,3.847,30.864,6.86
mps2/an521/cpu0/ns,psa_crypto,r4-c1,1554992,785233,12.794,7.121,28.736,6.776,7.042,12.372,6.949999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c2,1554992,387384,11.345,5.94,388.03,5.47,5.924,29.956,6.949999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c3,1554992,785233,12.845,7.268,29.656,6.736,6.744,12.307,7.324999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c4,1554992,387384,11.112,5.938,391.177,5.487,5.868,29.987,7.324999999999999
mps2/an521/cpu0/ns,psa_crypto,r4-c5,1554992,785233,12.233,6.294,27.85,6.592,6.367,11.765,7.125
mps2/an521/cpu0/ns,psa_crypto,r4-c6,1554992,387384,11.147,5.489,387.352,5.439,5.93,29.385,7.125
mps2/an521/cpu0/ns,psa_crypto,r4-c7,1554992,785233,11.929,5.757,27.239,6.274,6.359,11.78,7.5
mps2/an521/cpu0/ns,psa_crypto,r4-c8,1554992,387384,11.067,5.604,383.569,5.315,6.074,28.947,7.5
mps2/an521/cpu0/ns,psa_crypto,r4-c9,1554992,785233,13.864,6.017,31.042,7.233,5.771,13.156,7.475
mps2/an521/cpu0/ns,psa_crypto,r4-c10,1554992,387384,12.462,3.55,401.869,5.964,3.861,31.124,7.475
mps2/an521/cpu0/ns,psa_crypto,e1-c1,1554992,785233,7.363,6.85,27.777,7.194,6.319,11.943,6.699999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c2,1554992,387384,6.495,5.981,394.157,6.394,6.141,30.11,6.699999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c3,1554992,785233,7.755,7.022,28.368,7.661,6.65,11.888,7.074999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c4,1554992,387384,6.442,5.945,388.531,6.415,5.918,30.03,7.074999999999999
mps2/an521/cpu0/ns,psa_crypto,e1-c5,1554992,785233,7.767,6.491,28.807,7.729,6.89,12.743,6.875
mps2/an521/cpu0/ns,psa_crypto,e1-c6,1554992,387384,6.27,5.511,389.573,6.212,5.967,29.393,6.875
mps2/an521/cpu0/ns,psa_crypto,e1-c7,1554992,785233,7.383,6.103,27.891,7.241,6.562,11.895,7.25
mps2/an521/cpu0/ns,psa_crypto,e1-c8,1554992,387384,6.596,5.592,396.107,6.448,6.109,32.452,7.25
mps2/an521/cpu0/ns,psa_crypto,e1-c9,1554992,785233,8.237,5.894,30.311,7.86,5.868,13.167,7.225
mps2/an521/cpu0/ns,psa_crypto,e1-c10,1554992,387384,6.664,3.686,405.175,6.728,3.816,31.559,7.225
mps2/an521/cpu0/ns,psa_crypto,e3-c1,1554992,785233,8.24,7.245,28.987,8.1,6.556,12.352,7.324999999999999
