Kernel,Benchmark,Authentication,Orig Size,Compresed Size,Sign Time,Encrypt Time,Compression Time,Verify Time,Decrypt Time,Decompression Time,Security
qemu_cortex_m3,mqtt_publisher,r3-c1,4600536,2344246,13.217,10.108,75.029,10.105,9.293,35.893,6.335
qemu_cortex_m3,mqtt_publisher,r3-c2,4600536,987292,9.864,6.83,1157.8,7.174,7.12,140.988,6.335
qemu_cortex_m3,mqtt_publisher,r3-c3,4600536,2344246,38.056,30.359,231.563,30.856,26.1,95.26,6.71
qemu_cortex_m3,mqtt_publisher,r3-c4,4600536,987292,9.607,6.861,1141.75,6.785,6.861,159.053,6.71
qemu_cortex_m3,mqtt_publisher,r3-c5,4600536,2344246,35.687,21.474,226.226,29.544,24.398,97.053,6.51
qemu_cortex_m3,mqtt_publisher,r3-c6,4600536,987292,9.371,5.993,1137.267,6.842,6.922,171.423,6.51
qemu_cortex_m3,mqtt_publisher,r3-c7,4600536,2344246,32.082,20.368,224.735,25.912,23.967,94.563,6.885
qemu_cortex_m3,mqtt_publisher,r3-c8,4600536,987292,9.675,6.114,1122.802,6.838,6.978,173.131,6.885
qemu_cortex_m3,mqtt_publisher,r3-c9,4600536,2344246,31.98,27.425,217.472,28.041,34.829,93.78,6.86
qemu_cortex_m3,mqtt_publisher,r3-c10,4600536,987292,9.267,5.775,1141.789,6.61,6.262,164.841,6.86
qemu_cortex_m3,mqtt_publisher,r4-c1,4600536,2344246,22.732,13.238,114.973,15.272,12.81,46.005,6.949999999999999
qemu_cortex_m3,mqtt_publisher,r4-c2,4600536,987292,11.98,6.447,1162.479,6.821,7.094,170.091,6.949999999999999
qemu_cortex_m3,mqtt_publisher,r4-c3,4600536,2344246,45.655,27.879,228.792,30.707,27.181,96.929,7.324999999999999
qemu_cortex_m3,mqtt_publisher,r4-c4,4600536,987292,11.946,6.789,1133.49,6.735,6.814,158.459,7.324999999999999
qemu_cortex_m3,mqtt_publisher,r4-c5,4600536,2344246,44.451,22.252,230.728,30.122,25.099,95.328,7.125
qemu_cortex_m3,mqtt_publisher,r4-c6,4600536,987292,12.047,6.19,1146.732,6.88,6.937,170.85,7.125
qemu_cortex_m3,mqtt_publisher,r4-c7,4600536,2344246,40.736,20.961,224.739,28.291,25.826,99.205,7.5
qemu_cortex_m3,mqtt_publisher,r4-c8,4600536,987292,12.05,6.055,1156.931,6.798,6.857,156.994,7.5
qemu_cortex_m3,mqtt_publisher,r4-c9,4600536,2344246,43.492,29.819,226.076,30.502,36.903,96.659,7.475
qemu_cortex_m3,mqtt_publisher,r4-c10,4600536,987292,11.892,6.176,1160.051,6.676,6.151,160.6,7.475
qemu_cortex_m3,mqtt_publisher,e1-c1,4600536,2344246,27.326,24.181,222.026,29.665,26.005,97.888,6.699999999999999
qemu_cortex_m3,mqtt_publisher,e1-c2,4600536,987292,7.209,6.601,1149.255,7.354,6.772,167.473,6.699999999999999
qemu_cortex_m3,mqtt_publisher,e1-c3,4600536,2344246,27.053,24.652,211.582,30.525,25.361,87.994,7.074999999999999
qemu_cortex_m3,mqtt_publisher,e1-c4,4600536,987292,7.217,6.993,1155.008,7.776,7.036,151.668,7.074999999999999
qemu_cortex_m3,mqtt_publisher,e1-c5,4600536,2344246,24.163,18.42,209.811,26.253,23.165,90.953,6.875
qemu_cortex_m3,mqtt_publisher,e1-c6,4600536,987292,7.246,5.86,1148.604,7.318,6.67,162.691,6.875
qemu_cortex_m3,mqtt_publisher,e1-c7,4600536,2344246,13.041,9.533,93.788,12.83,10.701,37.182,7.25
qemu_cortex_m3,mqtt_publisher,e1-c8,4600536,987292,7.491,6.234,1151.554,7.671,7.268,149.823,7.25
qemu_cortex_m3,mqtt_publisher,e1-c9,4600536,2344246,25.354,27.069,222.468,27.535,33.449,96.712,7.225
qemu_cortex_m3,mqtt_publisher,e1-c10,4600536,987292,7.336,5.932,1147.701,7.349,6.21,140.472,7.225
qemu_cortex_m3,mqtt_publisher,e3-c1,4600536,2344246,26.402,21.341,198.294,28.267,23.425,88.487,7.324999999999999
qemu_cortex_m3,mqtt_publisher,e3-c2,4600536,987292,7.937,6.726,1162.177,8.368,7.147,163.766,7.324999999999999
qemu_cortex_m3,mqtt_publisher,e3-c3,4600536,2344246,30.661,27.391,226.656,32.944,27.753,99.417,7.699999999999999
qemu_cortex_m3,mqtt_publisher,e3-c4,4600536,987292,8.318,7.077,1151.7,8.254,7.083,139.05,7.699999999999999
qemu_cortex_m3,mqtt_publisher,e3-c5,4600536,2344246,30.467,21.236,216.116,32.148,25.415,98.645,7.5
qemu_cortex_m3,mqtt_publisher,e3-c6,4600536,987292,7.902,6.121,1161.224,8.219,6.845,146.521,7.5
qemu_cortex_m3,mqtt_publisher,e3-c7,4600536,2344246,24.803,17.147,166.72,25.647,20.249,76.686,7.875
qemu_cortex_m3,mqtt_publisher,e3-c8,4600536,987292,7.962,6.158,1146.812,8.168,7.212,156.515,7.875
qemu_cortex_m3,mqtt_publisher,e3-c9,4600536,2344246,32.318,31.991,223.023,34.287,36.011,93.751,7.85
qemu_cortex_m3,mqtt_publisher,e3-c10,4600536,987292,7.841,5.619,1153.088,7.87,6.289,130.916,7.85
qemu_cortex_m3,mqtt_publisher,d-c1,4600536,2344246,24.695,24.778,223.592,26.687,25.956,93.55,8.05
qemu_cortex_m3,mqtt_publisher,d-c2,4600536,987292,5.673,6.815,1171.007,5.741,6.867,148.352,8.05
qemu_cortex_m3,mqtt_publisher,d-c3,4600536,2344246,20.565,23.029,176.931,21.031,20.168,71.074,8.425
qemu_cortex_m3,mqtt_publisher,d-c4,4600536,987292,6.583,7.681,1173.732,6.369,7.868,140.39,8.425
qemu_cortex_m3,mqtt_publisher,d-c5,4600536,2344246,23.226,19.836,221.523,24.296,24.207,96.095,8.225
qemu_cortex_m3,mqtt_publisher,d-c6,4600536,987292,5.898,6.23,1158.186,5.715,6.841,143.256,8.225
qemu_cortex_m3,mqtt_publisher,d-c7,4600536,2344246,27.613,24.518,227.887,28.141,27.337,99.454,8.6
qemu_cortex_m3,mqtt_publisher,d-c8,4600536,987292,5.623,5.996,1150.494,5.802,6.922,151.114,8.6
qemu_cortex_m3,mqtt_publisher,d-c9,4600536,2344246,21.053,28.435,225.721,23.524,35.106,97.769,8.575
qemu_cortex_m3,mqtt_publisher,d-c10,4600536,987292,5.665,5.622,1158.195,5.632,6.046,122.214,8.575
qemu_cortex_m3,mqtt_publisher,f-c1,4600536,2344246,23.549,23.039,218.336,25.272,26.009,98.032,8.05
qemu_cortex_m3,mqtt_publisher,f-c2,4600536,987292,6.035,6.671,1156.322,5.69,6.781,149.548,8.05
qemu_cortex_m3,mqtt_publisher,f-c3,4600536,2344246,11.129,12.095,91.43,10.657,11.172,36.944,8.425
qemu_cortex_m3,mqtt_publisher,f-c4,4600536,987292,6.291,6.931,1173.038,5.841,6.986,154.121,8.425
qemu_cortex_m3,mqtt_publisher,f-c5,4600536,2344246,30.45,24.501,227.765,29.452,26.595,97.5,8.225
qemu_cortex_m3,mqtt_publisher,f-c6,4600536,987292,6.221,6.03,1161.561,5.796,6.69,137.264,8.225
qemu_cortex_m3,mqtt_publisher,f-c7,4600536,2344246,26.854,22.783,224.474,25.862,25.601,98.897,8.6
qemu_cortex_m3,mqtt_publisher,f-c8,4600536,987292,6.11,6.255,1151.157,5.769,6.874,145.531,8.6
qemu_cortex_m3,mqtt_publisher,f-c9,4600536,2344246,23.9,28.373,218.519,25.587,34.046,92.111,8.575
qemu_cortex_m3,mqtt_publisher,f-c10,4600536,987292,6.015,5.524,1146.539,5.52,5.998,128.122,8.575
