Kernel,Benchmark,Authentication,Orig Size,Compresed Size,Sign Time,Encrypt Time,Compression Time,Verify Time,Decrypt Time,Decompression Time,Security
qemu_cortex_r5,mini_nn,r3-c1,2029928,1969109,14.076,11.295,37.939,9.947,9.297,21.908,6.335
qemu_cortex_r5,mini_nn,r3-c2,2029928,1373208,11.557,7.72,438.322,8.351,8.058,139.829,6.335
qemu_cortex_r5,mini_nn,r3-c3,2029928,1969109,41.654,32.686,106.048,29.835,26.814,67.811,6.71
qemu_cortex_r5,mini_nn,r3-c4,2029928,1373208,10.662,7.803,482.608,8.027,7.94,210.976,6.71
qemu_cortex_r5,mini_nn,r3-c5,2029928,1969109,41.359,26.933,105.489,29.029,25.002,62.984,6.51
qemu_cortex_r5,mini_nn,r3-c6,2029928,1373208,10.974,6.658,427.276,8.182,7.647,143.835,6.51
qemu_cortex_r5,mini_nn,r3-c7,2029928,1969109,34.952,22.647,87.891,25.16,22.894,57.081,6.885
qemu_cortex_r5,mini_nn,r3-c8,2029928,1373208,10.573,6.639,496.062,8.303,8.006,216.19,6.885
qemu_cortex_r5,mini_nn,r3-c9,2029928,1969109,39.376,35.814,100.502,29.008,33.245,60.954,6.86
qemu_cortex_r5,mini_nn,r3-c10,2029928,1373208,10.425,8.09,501.321,7.953,8.168,211.031,6.86
qemu_cortex_r5,mini_nn,r4-c1,2029928,1969109,41.997,26.196,92.149,25.372,21.545,53.411,6.949999999999999
qemu_cortex_r5,mini_nn,r4-c2,2029928,1373208,13.363,7.528,474.158,8.196,8.02,200.647,6.949999999999999
qemu_cortex_r5,mini_nn,r4-c3,2029928,1969109,47.135,30.656,101.829,28.67,25.664,66.014,7.324999999999999
qemu_cortex_r5,mini_nn,r4-c4,2029928,1373208,13.502,7.743,471.5,8.569,8.621,228.143,7.324999999999999
qemu_cortex_r5,mini_nn,r4-c5,2029928,1969109,49.933,25.227,100.734,28.607,24.717,61.893,7.125
